Program|ParentProject|Project|StationName|StationCode|SampleDate|CollectionTime|LocationCode|CollectionDepth|UnitCollectionDepth|SampleTypeCode|CollectionReplicate|ResultsReplicate|LabBatch|LabSampleID|MatrixName|MethodName|Analyte|Unit|Result|Observation|MDL|RL|ResultQualCode|QACode|BatchVerification|ComplianceCode|SampleComments|CollectionComments|ResultsComments|BatchComments|EventCode|ProtocolCode|SampleAgency|GroupSamples|CollectionMethodName|TargetLatitude|TargetLongitude|CollectionDeviceDescription|CalibrationDate|PositionWaterColumn|PrepPreservationName|PrepPreservationDate|DigestExtractMethod|DigestExtractDate|AnalysisDate|DilutionFactor|ExpectedValue|LabAgency|SubmittingAgency|SubmissionCode|OccupationMethod|StartingBank|DistanceFromBank|UnitDistanceFromBank|StreamWidth|UnitStreamWidth|StationWaterDepth|UnitStationWaterDepth|HydroMod|HydroModLoc|LocationDetailWQComments|ChannelWidth|UpstreamLength|DownstreamLength|TotalReach|LocationDetailBAComments|county|county_fips|regional_board|rb_number|huc8|huc8_number|huc10|huc10_number|huc12|huc12_number|waterbody_type|SampleID
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m downstream of confluence with Adobe Creek|206PET098|2018-02-14|11:30:00|Midchannel|0.1|m|Grab|1|1|CELA_S18073C_W_BAC|6549-03|samplewater|EPA 1600|Enterococcus|cfu/100mL|1||1|1|ND|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups to calculate precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.223164|-122.605186462402|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-14 11:30:00|None|1950-01-01|2018-02-14|1||CELA|CELA|A|From Bridge|LB||m||m||m|Bridge|WI|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET098W1
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 7.2 mi upstream of Hwy 37 bridge. Papa's Taverna on Lakeville Hwy|206PET007|2018-02-14|10:45:00|Bank|0.1|m|Grab|1|1|CELA_S18073C_W_BAC|6549-02|samplewater|EPA 1600|Enterococcus|cfu/100mL|5||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups to calculate precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.197109|-122.547630310059|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-14 10:45:00|None|1950-01-01|2018-02-14|1||CELA|CELA|A|Walk In|LB|10|m|30|m||m|Other|WI|dock||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET007W1
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Just upstream of E. Washington St bridge|206PET205|2018-02-14|12:10:00|Midchannel|0.1|m|Grab|1|1|CELA_S18073C_W_BAC|6549-04|samplewater|EPA 1600|Enterococcus|cfu/100mL|76||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups to calculate precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.236156|-122.640365600586|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-14 12:10:00|None|1950-01-01|2018-02-14|1||CELA|CELA|A|From Bridge|RB|10|m|20|m||m|Bridge|WI|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET205W1
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-14|12:45:00|Bank|0.1|m|Grab|1|1|CELA_S18073C_W_BAC|6549-06|samplewater|EPA 1600|Enterococcus|cfu/100mL|1||1|1|ND|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups to calculate precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.255779|-122.651168823242|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-14 12:45:00|None|1950-01-01|2018-02-14|1||CELA|CELA|A|Walk In|LB|0.5|m|5|m||m|Bridge|WI|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|206PET310W1
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m upstream of Payran St bridge|206PET260|2018-02-14|12:20:00|Bank|0.1|m|Grab|1|1|CELA_S18073C_W_BAC|6549-05|samplewater|EPA 1600|Enterococcus|cfu/100mL|106||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups to calculate precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.246231|-122.637992858887|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-14 12:20:00|None|1950-01-01|2018-02-14|1||CELA|CELA|A|Walk In|LB|0.5|m|20|m||m|Bridge|DS|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|206PET260W1
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m upstream of Payran St bridge|206PET260|2018-02-21|11:25:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|1.82||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.246231|-122.637992858887|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|0|m|3|m|1|m|Bridge|DS|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Just upstream of E. Washington St bridge|206PET205|2018-02-21|11:00:00|Midchannel|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|4.68||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.236156|-122.640365600586|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||From Bridge|RB|1.5|m|3|m|1|m|Bridge|NA|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-21|11:40:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Dissolved, Total|mg/L|13.78||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.255779|-122.651168823242|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|0|m|2|m||m|Bridge|US|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-21|11:40:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Saturation, Total|%|128.6||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.255779|-122.651168823242|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|0|m|2|m||m|Bridge|US|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 7.2 mi upstream of Hwy 37 bridge. Papa's Taverna on Lakeville Hwy|206PET007|2018-02-21|09:47:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|11.40||||=|None|VAC|Com|Tidal site. Field dup collected on rep 2.||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.197109|-122.547630310059|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|0|m|50|m||m|Pier|NR|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|
